Slope_Pct,Aspect,Tri_Index,p.xy
14.76105988,96.48307369,1605,"316010.223525,2899948.82495"
14.97034105,78.43986921,1085,"316010.223525,2900148.82495"
18.00308616,358.9390883,418,"315910.223525,2900248.82495"
1.054092553,198.4349488,1084,"315910.223525,2900448.82495"
1.490711985,63.43494882,1583,"316010.223525,2900548.82495"
7.78174502,170.1341931,1559,"316010.223525,2900748.82495"
8.013876853,163.0724869,1086,"316210.223525,2900748.82495"
8.013876853,106.9275131,1584,"316310.223525,2900848.82495"
4.068851872,124.9920202,2012,"316510.223525,2900848.82495"
12.04159458,318.3664607,2030,"316610.223525,2900748.82495"
11.55181563,316.1691393,2047,"316510.223525,2900548.82495"
9.893881386,327.3807569,1606,"316310.223525,2900448.82495"
5.897268671,132.70939,2409,"316610.223525,2900448.82495"
5,216.8698976,727,"316810.223525,2900448.82495"
7.310570733,204.2277453,2410,"316910.223525,2900248.82495"
2.687419249,119.7448813,1609,"316810.223525,2900148.82495"
1.666666667,143.1301024,2423,"316610.223525,2900148.82495"
5.426273532,10.61965528,2089,"316610.223525,2899948.82495"
6.227180564,254.475889,1112,"316510.223525,2899848.82495"
2.867441756,125.5376778,2434,"316310.223525,2899848.82495"
3.299831646,45,1120,"316210.223525,2899648.82495"
26.10449089,84.87180896,725,"316010.223525,2899548.82495"
26.03416559,87.06432655,1111,"316010.223525,2899348.82495"
26.03416559,182.9356734,1110,"315910.223525,2899248.82495"
31.24811105,146.3099325,1646,"315710.223525,2899248.82495"
8.339997335,182.29061,1643,"315610.223525,2899348.82495"
12.02312586,226.1233027,1644,"315410.223525,2899248.82495"
12.13351648,217.1847065,1109,"315310.223525,2899348.82495"
8.055363982,294.4439548,1629,"315310.223525,2899548.82495"
14.79489401,14.34933204,704,"315410.223525,2899648.82495"
16.414763,29.16761338,1618,"315610.223525,2899648.82495"
9.803627447,54.68878656,1106,"315610.223525,2899848.82495"
13.53596034,217.9987324,417,"315710.223525,2899948.82495"
10.07747764,304.2157021,215,"315610.223525,2900148.82495"
5.821416399,13.24051992,703,"315410.223525,2900248.82495"
5.04424865,7.594643369,1604,"315310.223525,2900148.82495"
8.692269874,4.398705355,1078,"315310.223525,2899948.82495"
25.51687895,70.14478563,1603,"315110.223525,2899948.82495"
14.06334874,174.559668,1601,"315010.223525,2899848.82495"
