Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
10.07747764,304.2157021,215,356,"315810.22,2900048.82,240"
10.07747764,304.2157021,215,355,"315510.22,2900048.82,215"
10.07747764,304.2157021,215,212,"315510.22,2900348.82,198"
5.821416399,13.24051992,703,355,"315510.22,2900048.82,215"
5.821416399,13.24051992,703,212,"315510.22,2900348.82,198"
5.821416399,13.24051992,703,211,"315210.22,2900348.82,202"
5.04424865,7.594643369,1604,355,"315510.22,2900048.82,215"
5.04424865,7.594643369,1604,211,"315210.22,2900348.82,202"
5.04424865,7.594643369,1604,805,"315210.22,2900048.82,217"
8.692269874,4.398705355,1078,556,"315210.22,2899748.82,243"
8.692269874,4.398705355,1078,355,"315510.22,2900048.82,215"
8.692269874,4.398705355,1078,805,"315210.22,2900048.82,217"
25.51687895,70.14478563,1603,556,"315210.22,2899748.82,243"
25.51687895,70.14478563,1603,805,"315210.22,2900048.82,217"
25.51687895,70.14478563,1603,804,"314910.22,2900048.82,289"
14.06334874,174.559668,1601,556,"315210.22,2899748.82,243"
14.06334874,174.559668,1601,804,"314910.22,2900048.82,289"
14.06334874,174.559668,1601,1047,"314910.22,2899748.82,247"
31.60344566,116.2947901,2087,804,"314910.22,2900048.82,289"
31.60344566,116.2947901,2087,1047,"314910.22,2899748.82,247"
31.60344566,116.2947901,2087,549,"314610.22,2900048.82,374"
31.31382371,64.79887635,700,804,"314910.22,2900048.82,289"
31.31382371,64.79887635,700,549,"314610.22,2900048.82,374"
31.31382371,64.79887635,700,800,"314910.22,2900348.82,249"
20.5723655,49.60009567,1602,211,"315210.22,2900348.82,202"
20.5723655,49.60009567,1602,804,"314910.22,2900048.82,289"
20.5723655,49.60009567,1602,800,"314910.22,2900348.82,249"
16.77630604,69.04422327,681,211,"315210.22,2900348.82,202"
16.77630604,69.04422327,681,800,"314910.22,2900348.82,249"
16.77630604,69.04422327,681,542,"314910.22,2900648.82,231"
10.71343912,84.64417496,1578,211,"315210.22,2900348.82,202"
10.71343912,84.64417496,1578,542,"314910.22,2900648.82,231"
10.71343912,84.64417496,1578,792,"315210.22,2900648.82,199"
10.9188929,102.3390873,1065,542,"314910.22,2900648.82,231"
10.9188929,102.3390873,1065,792,"315210.22,2900648.82,199"
10.9188929,102.3390873,1065,536,"315210.22,2900948.82,206"
14.24000624,110.5560452,1557,542,"314910.22,2900648.82,231"
14.24000624,110.5560452,1557,536,"315210.22,2900948.82,206"
14.24000624,110.5560452,1557,782,"314910.22,2900948.82,246"
25.49509757,101.3099325,1077,542,"314910.22,2900648.82,231"
25.49509757,101.3099325,1077,782,"314910.22,2900948.82,246"
25.49509757,101.3099325,1077,349,"314610.22,2900948.82,321"
26.2488095,72.25532837,1558,782,"314910.22,2900948.82,246"
26.2488095,72.25532837,1558,349,"314610.22,2900948.82,321"
26.2488095,72.25532837,1558,530,"314910.22,2901248.82,222"
25.25646232,67.4964715,1045,349,"314610.22,2900948.82,321"
25.25646232,67.4964715,1045,530,"314910.22,2901248.82,222"
25.25646232,67.4964715,1045,529,"314610.22,2901248.82,292"
23.93509743,77.12499844,1054,530,"314910.22,2901248.82,222"
23.93509743,77.12499844,1054,529,"314610.22,2901248.82,292"
23.93509743,77.12499844,1054,526,"314910.22,2901548.82,206"
9.893881386,57.38075693,395,530,"314910.22,2901248.82,222"
9.893881386,57.38075693,395,526,"314910.22,2901548.82,206"
9.893881386,57.38075693,395,344,"315210.22,2901248.82,197"
